Wings,1927,1,true
Giant,1956,29
The King and I,1956,29
The Ten Commandments,1956,29
The Bridge on the River Kwai,1957,30,true
12 Angry Men,1957,30
Peyton Place,1957,30
Sayonara,1957,30
Witness for the Prosecution,1957,30
Gigi,1958,31,true
Auntie Mame,1958,31
Cat on a Hot Tin Roof,1958,31
The Defiant Ones,1958,31
Separate Tables,1958,31
Ben-Hur,1959,32,true
Anatomy of a Murder,1959,32
The Diary of Anne Frank,1959,32
The Nun's Story,1959,32
Room at the Top,1959,32
The Apartment,1960,33,true
The Alamo,1960,33
Elmer Gantry,1960,33
Sons and Lovers,1960,33
The Sundowners,1960,33
West Side Story,1961,34,true
Fanny,1961,34
The Guns of Navarone,1961,34,
The Hustler,1961,34
Judgment at Nuremberg,1961,34
Lawrence of Arabia,1962,35,true
The Longest Day,1962,35
The Music Man,1962,35
Mutiny on the Bounty,1962,35
To Kill a Mockingbird,1962,35
Tom Jones,1963,36,true
America, America,1963,36
Cleopatra,1963,36
How the West Was Won,1963,36
Liles of the Field,1963,36
My Fair Lady,1964,37,true
Becket,1964,37
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,37
Mary Poppins,1964,37
Zorba the Greek,1964,37
The Sound of Music,1965,38,true
Darling,1965,38
Doctor Zhivago,1965,38
Ship of Fools,1965,38
A Thousand Clowns,1965,38
A Man for All Seasons,1966,39,true
Alfie,1966,39
The Russians Are Coming, the Russians are Coming,1966,39
The Sand Pebbles,1966,39
Who's Afraid of Virginia Woolf?,1966,39
In the Heat of the Night,1967,40,true
Bonnie and Clyde,1967,40
Doctor Dolittle,1967,40
The Graduate,1967,40
Guess Who's Coming to Dinner,1967,40
Oliver!,1968,41,true
Funny Girl,1968,41
The Lion in Winter,1968,41
Rachel, Rachel,1968,41
Romeo and Juliet,1968,41
Midnight Cowboy,1969,42,true
Anne of the Thousand Days,1969,42
Buch Cassidy and the Sundance Kid,1969,42
Hello, Dolly!,1969,42
Z,1969,42
Patton,1970,43,true
Airport,1970,43
Five Easy Pieces,1970,43
Love Story,1970,43
MASH,1970,43
The French Connection,1971,44,true
A Clockwork Orange,1971,44
Fiddler on the Roof,1971,44
The Last Picture Show,1971,44
Nicholas and Alexandra,1971,44
The Godfather,1972,45,true
Cabaret,1972,45
Deliverance,1972,45
The Emigrants,1972,45
Sounder,1972,45
The Sting,1973,46,true
American Graffiti,1973,46
Cries and Whispers,1973,46
The Exorcist,1973,46
A Touch of Class,1973,46
The Godfather Part II,1974,47,true
Chinatown,1974,47
The Conversation,1974,47
Lenny,1974,47
The Towering Inferno,1974,47
One Flew Over the Cuckoo's Nest,1975,48,true
Barry Lyndon,1975,48
Dog Day Afternoon,1975,48
Jaws,1975,48
Nashville,1975,48
Rocky,1976,49,true
All the President's Men,1976,49
Bound for Glory,1976,49
Network,1976,49
Taxi Driver,1976,49
Annie Hall,1977,50,true
The Goodbye Girl,1977,50
Julia,1977,50
Star Wars,1977,50
The Turning Point,1977,50
The Deer Hunter,1978,51,true
Coming Home,1978,51
Heaven Can Wait,1978,51
Midnight Express,1978,51
An Unmarried Woman,1978,51
Kramer vs. Kramer,1979,52,true
All That Jazz,1979,52
Apocalypse Now,1979,52
Breaking Away,1979,52
Norma Rae,1979,52
Ordinary People,1980,53,true
Coal Miner's Daughter,1980,53
